model,temperature,generation,ticks_survived,charge_efficiency,signs_written,vaults_attempted,vaults_solved
qwen2.5:1.5b,0.2,1,63,0.223,0,4,0
qwen2.5:1.5b,0.2,2,51,0.0,0,3,0
qwen2.5:1.5b,0.2,1,17,0.0,0,4,0
qwen2.5:1.5b,0.2,1,15,0.0,0,5,0
qwen2.5:1.5b,0.2,2,26,0.0,0,0,0
qwen2.5:1.5b,0.2,1,14,0.0,0,5,0
qwen2.5:1.5b,0.2,3,23,0.0,0,2,0
qwen2.5:1.5b,0.2,2,12,0.0,0,6,0
qwen2.5:1.5b,0.2,1,14,0.0,0,5,0
qwen2.5:1.5b,0.2,3,11,0.0,0,6,0
qwen2.5:1.5b,0.2,4,15,0.0,0,5,0
qwen2.5:1.5b,0.2,2,14,0.0,3,4,0
qwen2.5:1.5b,0.2,4,14,0.0,0,5,0
qwen2.5:1.5b,0.2,5,22,0.175,0,5,0
qwen2.5:1.5b,0.2,5,14,0.0,0,5,0
qwen2.5:1.5b,0.2,6,15,0.0,0,5,0
qwen2.5:1.5b,0.2,3,26,0.0,0,0,0
qwen2.5:1.5b,0.2,6,17,0.0,0,4,0
qwen2.5:1.5b,0.2,7,15,0.0,1,5,0
qwen2.5:1.5b,0.2,4,14,0.0,0,5,0
qwen2.5:1.5b,0.2,8,17,0.0,0,4,0
qwen2.5:1.5b,0.2,7,29,0.0,0,0,0
qwen2.5:1.5b,0.2,9,14,0.0,0,5,0
qwen2.5:1.5b,0.2,8,14,0.0,0,5,0
qwen2.5:1.5b,0.2,10,18,0.0,0,4,0
qwen2.5:1.5b,0.2,9,27,0.0,0,0,0
qwen2.5:1.5b,0.2,11,28,0.0,0,0,0
qwen2.5:1.5b,0.2,10,14,0.0,3,4,0
qwen2.5:1.5b,0.2,12,26,0.0,0,0,0
qwen2.5:1.5b,0.2,1,11,0.0,0,6,0
qwen2.5:1.5b,0.2,11,29,0.0,0,0,0
qwen2.5:1.5b,0.2,12,8,0.0,0,8,0
qwen2.5:1.5b,0.2,2,11,0.0,0,6,0
qwen2.5:1.5b,0.2,13,17,0.0,0,4,0
qwen2.5:1.5b,0.2,3,14,0.0,0,5,0
qwen2.5:1.5b,0.2,14,17,0.0,0,4,0
qwen2.5:1.5b,0.2,4,11,0.0,0,6,0
qwen2.5:1.5b,0.2,13,28,0.0,0,0,0
qwen2.5:1.5b,0.2,15,16,0.0,0,5,0
qwen2.5:1.5b,0.2,5,11,0.0,0,6,0
qwen2.5:1.5b,0.2,14,14,0.0,0,5,0
qwen2.5:1.5b,0.2,16,17,0.0,0,4,0
qwen2.5:1.5b,0.2,15,14,0.0,0,5,0
qwen2.5:1.5b,0.2,6,26,0.0,0,0,0
qwen2.5:1.5b,0.2,17,14,0.0,0,5,0
qwen2.5:1.5b,0.2,7,11,0.0,0,6,0
qwen2.5:1.5b,0.2,8,8,0.0,0,8,0
qwen2.5:1.5b,0.2,18,15,0.0,0,5,0
qwen2.5:1.5b,0.2,16,29,0.0,0,0,0
qwen2.5:1.5b,0.2,9,11,0.0,0,6,0
qwen2.5:1.5b,0.2,19,15,0.0,0,5,0
qwen2.5:1.5b,0.2,17,14,0.0,0,5,0
qwen2.5:1.5b,0.2,10,14,0.0,0,5,0
qwen2.5:1.5b,0.2,20,15,0.0,0,5,0
qwen2.5:1.5b,0.2,18,16,0.0,1,4,0
qwen2.5:1.5b,0.2,11,11,0.0,0,6,0
qwen2.5:1.5b,0.2,21,14,0.0,0,5,0
qwen2.5:1.5b,0.2,12,11,0.0,0,6,0
qwen2.5:1.5b,0.2,19,14,0.0,0,5,0
qwen2.5:1.5b,0.2,13,8,0.0,0,7,0
qwen2.5:1.5b,0.2,22,14,0.0,0,5,0
qwen2.5:1.5b,0.2,20,14,0.0,0,5,0
qwen2.5:1.5b,0.2,14,8,0.0,0,8,0
qwen2.5:1.5b,0.2,1,13,0.0,1,6,0
qwen2.5:1.5b,0.2,2,25,0.0,0,1,0
qwen2.5:1.5b,0.2,3,8,0.0,0,8,0
qwen2.5:1.5b,0.2,4,14,0.0,0,5,0
qwen2.5:1.5b,0.2,5,29,0.0,0,0,0
qwen2.5:1.5b,0.2,6,14,0.0,0,5,0
qwen2.5:1.5b,0.2,7,8,0.0,0,8,0
qwen2.5:1.5b,0.2,8,28,0.0,1,0,0
qwen2.5:1.5b,0.2,9,12,0.0,0,6,0
qwen2.5:1.5b,0.2,10,11,0.0,0,6,0
qwen2.5:1.5b,0.2,11,12,0.0,0,6,0
qwen2.5:1.5b,0.2,12,14,0.0,0,5,0
qwen2.5:1.5b,0.2,13,26,0.0,0,1,0
qwen2.5:1.5b,0.2,14,14,0.0,0,5,0
qwen2.5:1.5b,0.2,15,14,0.0,0,5,0
qwen2.5:1.5b,0.2,16,14,0.0,0,6,0
qwen2.5:1.5b,0.2,17,14,0.0,0,5,0
qwen2.5:1.5b,0.2,18,11,0.0,0,6,0
qwen2.5:1.5b,0.2,19,11,0.0,0,6,0
qwen2.5:1.5b,0.2,20,25,0.0,0,1,0
qwen2.5:1.5b,0.2,21,11,0.0,0,6,0
qwen2.5:1.5b,0.2,22,8,0.0,0,8,0
qwen2.5:1.5b,0.2,23,13,0.0,0,6,0
qwen2.5:1.5b,0.2,24,11,0.0,0,6,0
qwen2.5:1.5b,0.2,25,14,0.0,0,5,0
qwen2.5:1.5b,0.2,26,11,0.0,0,6,0
qwen2.5:1.5b,0.2,27,14,0.0,0,5,0
qwen2.5:1.5b,0.2,28,14,0.0,1,5,0
qwen2.5:1.5b,0.2,29,14,0.0,0,5,0
qwen2.5:7b,0.2,1,19,0.0,0,3,0
qwen2.5:7b,0.2,2,31,0.149,0,0,0
qwen2.5:7b,0.2,3,25,0.0,0,0,0
qwen2.5:7b,0.2,4,24,0.0,0,1,0
qwen2.5:7b,0.2,5,25,0.0,0,0,0
qwen2.5:7b,0.2,6,25,0.0,0,0,0
